student_id,final_score,grade,pass_fail,previous_score,math_prev_score,science_prev_score,language_prev_score,daily_study_hours,attendance_percentage,homework_completion_rate,sleep_hours,screen_time_hours,physical_activity_minutes,motivation_score,exam_anxiety_score,parent_education_level,study_environment
S0001,60.1372407990272,D,1,60.59970653660494,61.48821154127121,53.56811921824577,64.97229190726756,1.4272028160094545,75.7384053990918,68.5343713772593,6.809352143962131,3.3130963596686476,65.05942480333701,4.150024677103553,6.104103009967883,Master,Noisy
S0002,99.02197650011394,A,1,92.28928685254539,85.61256505899487,91.87375898940192,89.04046071830405,4.81361151752838,89.60273630187963,91.99019718628172,5.567793478166109,4.925359307817564,76.01661716214312,8.714692902362525,1.982358076477201,High School,Quiet
S0003,70.52295492226222,C,1,80.25966679962728,82.1606560546571,72.73606492947228,74.24366252268156,1.2409077796011898,81.49542557128186,69.6696662919247,6.702874960423296,5.10788845880419,113.61687242311413,5.928219734445222,4.463661527800363,High School,Moderate
S0004,63.448537269766014,D,1,72.92621663083702,75.97914535725613,76.72649644928504,67.7159945696215,2.1906011102731218,71.47204702286149,71.97675742756,7.854438568059344,3.7724455716058536,108.68669041999568,4.224927741217956,4.740474299175389,High School,Noisy
S0005,66.48301877126762,C,1,48.581025224334006,51.379977463989206,48.99322398900652,46.14501061835937,2.1922648046800166,64.2765820588325,68.94059100695577,7.662428898818889,1.898989067475377,42.10729430602661,9.506815241257502,1.1438523875345838,Master,Quiet
S0006,49.08806058991704,F,0,48.57969861849114,53.983602246264255,41.29194112116649,46.8200920294086,2.2816051445608596,61.624397299166404,71.32014258347142,7.302930413090388,3.3387911547878977,45.55106866942169,4.837853981257502,5.5880569858439095,Bachelor,Noisy
S0007,48.45323400231987,F,0,43.19459866925097,47.36420944199549,41.64855328400166,39.344618338263686,1.657147373089637,59.876979551104355,70.61607007785997,6.534113898713033,5.840362514548392,62.18764946300202,7.310675702354173,1.6186578914556489,Master,Quiet
S0008,84.61357612439984,B,1,87.63968801762144,89.93558841376363,83.87890598966852,81.15910469637197,4.132645723694789,81.94717325505947,88.4041807776957,6.769044045382422,4.7649309651959255,56.16694793016065,5.644325244577287,3.5713537851224575,Bachelor,Quiet
S0009,66.45190860743597,C,1,73.06132564587648,72.71049708858324,74.65719819797238,70.78072150850554,1.4899914478639569,71.63103494902701,61.15312603152569,6.9490890776153496,5.055813019395661,85.3293857840636,4.391156813108147,6.2973391614534195,Master,Moderate
S0010,74.20950958448027,C,1,78.9439917787825,70.63918711120255,85.64624400889822,79.85112487935235,3.539626636612651,69.6853029437213,84.28858337820782,7.848448592363972,1.1641274940962005,111.24984429880904,4.299534913980274,5.465957550873835,Master,Quiet
S0011,42.715953563508286,F,0,41.13214718626914,43.280238281932064,31.756284838040415,44.10729451544696,1.4953841068232698,57.225358351495736,59.06903050438285,6.841872221222123,3.3392973131707997,116.60623875053281,4.693340193018033,6.895807108618424,Bachelor,Quiet
S0012,76.54755725092804,C,1,93.34504186890969,94.38348030472524,93.92017226464678,90.55792660336809,1.2821425503718262,87.63941819407563,71.92414504342733,6.3320738445092895,4.233105668287777,88.82426572817039,4.428202083336281,6.0729271927282955,Master,Quiet
S0013,97.9251307635394,A,1,85.7843452440232,87.14223943000006,84.98368126619,83.71935613330604,4.6377180147435055,76.15128739487415,93.54520719136144,6.33046414691755,5.150163418140373,105.4343281260978,8.563348693119536,1.0,Master,Moderate
S0014,56.73183818636755,D,1,51.67865108730519,45.294908208203644,55.03535146955752,47.045159543068635,1.7605150652748227,65.91773672601072,71.76323458365025,7.7831542678511765,1.2463682679138572,77.26819802077173,6.913397213700575,3.076397185908492,High School,Quiet
S0015,55.26931854792459,D,1,50.000373196390534,44.59509049434922,51.06635633757898,49.843177344516654,4.285000618238817,74.5015287197501,93.89735660062703,6.263300190975704,5.262194428209366,48.74942521740358,6.057352548093878,4.00603084454384,Bachelor,Quiet
S0016,58.383834796826285,D,1,50.087248041938864,55.35301230860338,46.32740138324477,45.84510487098479,3.1785234844285433,70.15890679723063,76.8625645918756,7.034567936452848,3.7420046837095584,77.22195708841296,6.510213460792043,2.761396225966247,Bachelor,Quiet
S0017,53.47248349614444,D,1,56.73332336277457,56.535547593491295,55.13805368444148,59.59896242898057,1.3114260784350784,76.58436922698993,63.08448723828714,7.623604110986119,1.9865698528802995,79.95743412938859,9.57368041343574,1.0,High School,Noisy
S0018,81.73824459860279,B,1,68.86160373977307,72.2691072266362,64.88147445575562,59.93227128010252,4.82179276575227,76.38644125455016,102.13794155407643,7.640706890960541,2.5862760822485003,96.82118077922009,9.464510876428882,1.2368790173806172,Bachelor,Moderate
S0019,61.010618449302335,D,1,63.75697602531636,63.89856790596867,69.13701171830935,61.95882766305405,1.98784466796757,77.71603712759041,68.93714000424417,7.9185031567921484,2.409647758757804,49.78946907366142,8.294058880735461,2.5512144163066344,High School,Noisy
S0020,84.09498425719718,B,1,56.017602710892305,56.16638340837103,56.12416095425202,57.523139406851016,4.438581381410426,64.38897770310722,100.3513785433594,6.942715157806715,3.654295171442379,63.147934387805854,9.308094264530126,1.2956872050228323,Bachelor,Moderate
S0021,63.394594799616854,D,1,73.65190920973087,78.34332823961086,83.15786263849591,74.5710817913434,1.6752400231382567,73.60425326975552,71.85997719529189,6.968583197559472,1.258428399555659,62.762472229310966,5.917888165525749,5.597429928798053,Bachelor,Moderate
S0022,74.75526748895,C,1,47.6721623358623,45.091938694775436,47.368858266789196,61.137330655764785,4.4157715285674115,50.140380137243795,98.75228955896576,7.28964371384052,1.7926807924996178,116.34956361670484,6.286655956049697,3.1715708079387013,Bachelor,Noisy
S0023,57.29205712957902,D,1,56.067955669437,56.54855955414192,52.525921834884684,57.81695579227654,1.052915251621176,73.96470520493,58.23086865484677,6.502991718639627,5.063465216878912,69.9550464294047,7.682273091125368,3.991997674945762,Bachelor,Moderate
S0024,66.16728227933913,C,1,60.14990138115304,57.83852493762783,52.581329418088906,55.12962839694299,3.0471218262779227,77.77657058967594,75.0720060238718,6.583209635791238,1.6630199537340553,97.95845705683318,7.741755683783585,1.3573231976622624,High School,Moderate
